you have to be the most diehard unrelenting cynic not to enjoy this movie i love it when television networks play this film around wintertime because for some reason it doesnt suit any other time of year in winter you like to have a comfort zone and this film is it it tells the story of lonely singleton lucy who daydreams of better things while working at a ticket booth and drooling over the secret crush of a local commuter peter gallagher one morning she saves him from a coming train and while he lies comatose she gets reluctantly cosy with his family the deceit is understandable and by no means menacing as its christmas the younger brother jack bill pullman returns home and subsequently falls for lucy is beautiful and sweet in so many ways you are reminded of the more oldfashioned romances of the 40s and 50s there is not one hint of sexuality or lust in this as the love blossoms between jack  lucy is honest pure and all together endearing we all relate to lucy on some level a dream trip to paris rome or in this case florence so its hopeful to us all when she gets her happy ending i absolutely loved it,happy
i adore this movie its easily one of my favourites another reviewer said that the best time to watch it is in the winter and whilst im happy to watch it any time of the year i would agree that it seems all the more magical when its freezing cold outside and youre snuggled under a blanketim glad no other actors were given any of the roles in this film it wouldnt have been the same sandra is adorable as lucy she has no sinister intent shes just swept up in the commotion and in the end falls in love with the whole family her speech toward the end chokes me up so much its completely heartfelt bill pullman also shines he falls for her gradually and their chemistry is so lovely to watch if you want a gentle unbelievably romantic film to watch on a cold evening this is the one for you,happy
lovely little film that has the lonely sandra bullock admiring highclass businessman peter gallagher from afar in her toll booth on the subway then one day he is attacked by a couple of muggers and bullock saves his life by getting him to the hospital naturally gallagher is in a comatose state after the attack a true misunderstanding makes it appear that bullock is gallaghers fiance and typical confusion ensues now gallaghers family all believe that bullock really is his woman gallaghers brother bill pullman is suspicious though but slowly starts to believe bullock as well he then starts to fall in love with her and vice versa a great romantic comedy that is so pure and wellmade that it is near impossible to say anything negative about it it is not a perfect film but it is a very likeable movie that delivers what it promises 4 stars out of 5,happy
 but i am in love with the movieim kicking myself for watching this movie just recently i was quite young when this movie was first released but that is not an excuse for overseeing this movie for so long i am so glad i watched it and im going to keep watching it over and overi am a sucker for romantic comedies and a lot of them are disappointing its very rare to fall in love with a movie and has that effect on me the key to the lucy and jacks romance is chemistry and boy did they have chemistry the element to a great story whether it is reading or watching is to show not tell and thats what exactly what it was the looks that you see jack and lucy give each other their body language the deep conversations they have the way he describes her and how shes head over heels for him the tension they create when put together wasnt anything sexual it was something much much deeper something that will last a lifetime the other key factors to this movie are the callaghans and saul and everyone else they bring out the comedy side to the movie they are a hilarious bunch and are not a tad annoying not even the real fiance or peter just really really funny and fun to be withput two and two together and they have formulated an almost perfect romantic comedy i am going to say almost because nothing in this world is perfectnow bill pullmanthats a different topic,happy
is almost flawless the storyline is funny but at the same time dramatic sandra bullock plays lucy a lonely el worker with no family at all she sees this guy get mugged and pushed on the train tracks and she jumps on and saves his life she follows him to the hospital where it is mistaken that she is the mans fiance she gets thrust into the family who accepts her with open arms however problems arise when she starts to fall in love with the brother of her fiance this movie is perfectly cast with brilliant performances by bullock and bill pullman who plays the brother the have great chemistry and just subtly looks and gestures towards each other during the whole movie add towards the sexual tension between them i have not met anyone who doesnt like this movie and it has become one of my favorites you can watch it a million times and never get tired of it ,happy
next time you are depressed this is the perfect pick me up  if you like watching the same movies over and over this is great for that also  the chemistry between the two main characters is outstanding much better than in this years two weeks notice  laugh out loud and cry out loud,happy
a sweet and gentle romantic film about how love sometimes slips in through the window rather than coming straight in through the front door its the one that put star sandra bullock into contention with meg ryan for the crown of americas sweetheart  and with good reason because in directed by jon turteltaub bullock emerges as the epitome of the modern day girl next door in the best and most sincere sense  this is a film that explores one of the basic tenets of the human condition the need to love and be loved and makes no bones about what its trying to accomplish along the way  clearly the filmmakers want to make you feel good and entertain you at the same time  and they succeed on both frontslucy moderatz bullock lives alone in chicago where she has an apartment a cat and a job with the cta as a token taker for the train  her life is fairly uncomplicated and uneventful read  dull and the one thing she looks forward to in her daily grind is seeing a certain young gentleman who rides the train everyday and always passes through her toll booth  shes doesnt even know his name and theyve never exchanged so much as a good morning but in her mind hes become the prince charming shes always dreamed aboutthen on christmas morning he passes through but while waiting on the platform for the train he gets mugged and falls onto the tracks unconscious  and a train is coming  lucy runs to his aid and saves his life but the severe head trauma hes sustained has put him in a coma  at the hospital they refuse to let her in to see him as that is a privilege reserved for family members only so in desperation she tells them that she is his fiancee which does the trick  but when his family his rather large family shows up her ruse creates something of a sticky wicket everything is moving so fast and becoming so emotional that lucy simply cant get in a word of explanation  the next thing she knows to the family she is their beloved peters peter gallagher intended even though hes never said a word to them about her and because the situation is so frantic and theres such concern about peter besides which its christmas lucy cant bring herself to tell them the truth  so in an instant her life is suddenly changed shes surrounded by family and shes engaged to her prince charming  even if he is wellin a comaturteltaub has crafted and delivered a thoroughly engaging film in the tradition of nora ephrons youve got mail the second best romantic comedy ever made and sleepless in seattle  he sets a perfect pace and presents his endearingly eclectic assemblage of characters in the best possible way he makes you feel at home with them  most importantly though turteltaub manages to make this a sweet film without being saccharin about it which would have sunk it quicker than a deflated rubber raft in an undertow  instead he pulls out all the right stops to make his film entirely ephronesque and entertaining and it works beautifully  the humor is warm and as the story moves along he builds upon that strong sense of need that is universal then triumphs by satisfying that need in the endsandra bullock has never been more winning or winsome than she is here theres a special quality about her lucy that makes you want to reach out to her  she is without question the most vulnerable character bullock has ever played  there is very little of annie speed or gracie miss congeniality for example about her the closest to lucy of any of her characters in fact would be birdee in hope floats  that is not to say there is anything weak about lucy at all quite the contrary in fact there is a decided strength in the very benevolence of lucys nature even in the way she wears her heart on her sleeve and especially inasmuch as she is not afraid to admit to herself what she really wants and needs  this is an independent woman who accepts and meets any and all challenges of life but keeps an open mind and above all an open heart  and that is what makes lucy so endearing shes the one who brings a cake to the office to share with her coworkers for no other reason than the fact that it makes the world and everybody in it a little bit better  thats what bullock brings to her performance here and its what makes lucy one of her most enduring and memorable charactersas for sliding in through the window rather than coming through the front door thats exactly what bill pullman does with his portrayal of peters brother jack callaghan  hes the one who shows up after the fact as it were but very quickly makes a connection and ingratiates himself with the audience  initially jack seems to be playing the role of devils advocate his suspicions aroused by the fact that peter has never mentioned lucy to him but that begins to change with some very subtle undertones that prove to be extremely effective  and pullman does a terrific job of developing his character in real time which makes jack convincing and a piece of the puzzle that fits in perfectly  a character actor type leading man pullman has a resume filled with varied and colorful characters but jack is his most engaging role ever and he succeeds entirely with itthe wonderful supporting cast includes jack warden saul peter boyle ox micole mercurio midge michael rispoli joey and the wonderful glynis johns as beautiful and charming as ever as elsie  warm and poignant is one to savor this ones a keeper  btw the 1 romantic comedy  bonnie hunts return to me  1010,happy
this was the picture which proved things could be all about sandra bullock speed  one year earlier  showed this this picture proved it a lot of people nowadays make fun of a typical bullock picture and speak of her as negligible in this day and age they probably forget or were never aware that she was hailed as americas new sweetheart back in 95 and it was no idle chatter there are very few actresses who can carry a picture on their own slight shoulders  i mean really make it a success sure bill pullman helped but this really was sandra all the way in a sappy soapy clichridden slight story of sudden romance usually very hard to buy into but because sandra is there on the screen throughout nearly every frame it all works out and youre rooting for her happiness in the final few minutes even knowing very well what is about to happen its like youve seen it all before but sandra makes you want to see it again we are all very fortunate those of us who have seen this story that it was sandra in the central role and not someone like shudder demi moore and if a guy is really fortunate he may meet someone like sandra in real life,happy
sandra bullock is a working girl who wants to travel she has no family and is usually stuck doing holiday shifts in the chicago transit system as a toll booth clerk on the elevated railway she has noted one man who uses the station all the time peter gallagher and rescues him when he is thrown onto the train tracks just before a train comes into the station gallagher is in a coma and due to a wellintentioned nurse bullock is introduced to the family of gallagher as his fianc she tries to tell them the truth but when she learns his grandmother glynis johns has a heart problem she hesitates soon she is treated as a member of this nice family as a member well she did save gallagher and she is thought to be his fianc only his brother bill pullman has real doubts and keeps mentioning them and keeps apologizing for them bullock and pullman find that they are also growing more attracted to each other the film shows how these problems are resolved and it is all done in a most charming mannerthis is one of those films that would take only a few minutes to quickly resolve in the real world where bullock would have told the truth early on but the audience is allowed to suspend its disbelief because the characters are uniformly likable although jack pullman is constantly questioning bullocks story each time she gives a plausible explanation of what is going on and pullman likes her enough to accept these explanations the only one who knows the truth is the family friend sam jack warden and he too feels that the news has to be broken carefully he loves the family and doesnt want them hurt oddly enough his one effort at meddling almost screws up the situation in the film for bullock pullman and gallagher pullman also faces the truth and explains to his father peter boyle that he doesnt want to continue in the family business boyles reaction becomes important toothe performances are flawless and one finds oneself rooting for most of the cast the sole exception is the actress playing ashley peter galaghers actual girl friend her opposite number joe jr is too comic a figure to dislike in fact at one point he thinks pullman is annoying bullock and offers to take care of him  not the act of a rat at all for a sweet lovable love tale is hard to top in the last decade only when harry met sally working girl pretty woman notting hill sleepless in seattle and youve got mail are on par with it but the family becomes so important to bullock in the plot this has a special warmth in it that is quite is different from most of the others,happy
after a lonely woman saves the life of a complete stranger shes mistaken for his fianc and slowly becomes integrated into his family due to his coma as her true identity couldnt be verified by anybody everything seems to be well until his brother shows up whose character is about to play a very important role in the upcoming eventsits a lovely and romantic comedy set in the heart of the winter holidays which tells an improbable love story about two complete strangers who fall in love without their will and as much as they try to resist as close they eventually become it creates a warm and enjoyable atmosphere which lasts until the end the actors play their roles very convincingly making you care about their characters while keeping you eager to find out what will happen next and how its going to end besides all of the above it also manages to make you laugh from time to time even out loud just to spice things up a bit its a very good movie for everyone to enjoy especially around the holidays but not only,happy
